schedule,category,product,charge_name,condition,amount,vat_note,source_file
Cards,Prepaid Cards,Payroll Prepaid Card,International SkyLounge free visits,Prepaid Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,UnionPay / Mastercard / Visa Prepaid Card,International SkyLounge free visits,Prepaid Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,Diners Club / FX / ACCA Prepaid Card,International SkyLounge free visits,Prepaid Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,Mastercard Women Prepaid Card,International SkyLounge free visits,Prepaid Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Classic,Domestic SkyLounge free visits,Credit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Gold,Domestic SkyLounge free visits,Credit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Platinum,Domestic SkyLounge free visits,Credit Cards; Annual,Unlimited,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Women Platinum,Domestic SkyLounge free visits,Credit Cards; Annual,Unlimited,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Army/Air Force/Navy Platinum,Domestic SkyLounge free visits,Credit Cards; Annual,Unlimited,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Corporate Platinum,Domestic SkyLounge free visits,Credit Cards; Annual,Unlimited,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Signature Light / Women Signature,Domestic SkyLounge free visits,Credit Cards; Annual,Unlimited,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Signature Acci,Domestic SkyLounge free visits,Credit Cards; Annual,Unlimited,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Infinite,Domestic SkyLounge free visits,Credit Cards; Annual,Unlimited,,SOC-Cards_fees.pdf
Cards,Credit Cards,Mastercard Titanium,Domestic SkyLounge free visits,Credit Cards; Annual,Unlimited,,SOC-Cards_fees.pdf
Cards,Credit Cards,Mastercard World,Domestic SkyLounge free visits,Credit Cards; Annual,Unlimited,,SOC-Cards_fees.pdf
Cards,Credit Cards,Diners Club,Domestic SkyLounge free visits,Credit Cards; Annual,Unlimited,,SOC-Cards_fees.pdf
Cards,Credit Cards,UnionPay Platinum,Domestic SkyLounge free visits,Credit Cards; Annual,Unlimited,,SOC-Cards_fees.pdf
Cards,Credit Cards,FX Credit,Domestic SkyLounge free visits,Credit Cards; Annual,Depends on card type,,SOC-Cards_fees.pdf
Cards,Debit Cards,Classic Debit,Domestic SkyLounge free visits,Debit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,Platinum Debit,Domestic SkyLounge free visits,Debit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,Signature (Regular) / World Debit,Domestic SkyLounge free visits,Debit Cards; Annual,As per Note 33,,SOC-Cards_fees.pdf
Cards,Debit Cards,Signature Priority Debit,Domestic SkyLounge free visits,Debit Cards; Annual,Unlimited,,SOC-Cards_fees.pdf
Cards,Debit Cards,Global / Mastercard World RFCD Debit,Domestic SkyLounge free visits,Debit Cards; Annual,As per Note 33,,SOC-Cards_fees.pdf
Cards,Debit Cards,UnionPay Classic Debit,Domestic SkyLounge free visits,Debit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,TakaPay Debit,Domestic SkyLounge free visits,Debit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,Payroll Prepaid Card,Domestic SkyLounge free visits,Prepaid Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,UnionPay / Mastercard / Visa Prepaid Card,Domestic SkyLounge free visits,Prepaid Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,Diners Club / FX / ACCA Prepaid Card,Domestic SkyLounge free visits,Prepaid Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,Mastercard Women Prepaid Card,Domestic SkyLounge free visits,Prepaid Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Classic,Global lounge access fee,Credit Cards; Per person,Not applicable,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Gold,Global lounge access fee,Credit Cards; Per person,Not applicable,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Platinum,Global lounge access fee,Credit Cards; Per person,$ 36 / As per Note 41,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Women Platinum,Global lounge access fee,Credit Cards; Per person,$ 36 / As per Note 41,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Army/Air Force/Navy Platinum,Global lounge access fee,Credit Cards; Per person,$ 36 / As per Note 41,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Corporate Platinum,Global lounge access fee,Credit Cards; Per person,$ 36 / As per Note 41,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Signature Light / Women Signature,Global lounge access fee,Credit Cards; Per person,$ 36 / As per Note 41,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Signature Acci,Global lounge access fee,Credit Cards; Per person,$ 36 / As per Note 41,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Infinite,Global lounge access fee,Credit Cards; Per person,$ 36 / As per Note 41,,SOC-Cards_fees.pdf
Cards,Credit Cards,Mastercard Titanium,Global lounge access fee,Credit Cards; Per person,$ 36 / As per Note 41,,SOC-Cards_fees.pdf
Cards,Credit Cards,Mastercard World,Global lounge access fee,Credit Cards; Per person,$ 36 / As per Note 41,,SOC-Cards_fees.pdf
Cards,Credit Cards,Diners Club,Global lounge access fee,Credit Cards; Per person,As per Note 31,,SOC-Cards_fees.pdf
Cards,Credit Cards,UnionPay Platinum,Global lounge access fee,Credit Cards; Per person,Not applicable,,SOC-Cards_fees.pdf
Cards,Credit Cards,FX Credit,Global lounge access fee,Credit Cards; Per person,Depends on card type,,SOC-Cards_fees.pdf
Cards,Debit Cards,Classic Debit,Global lounge access fee,Debit Cards; Per person,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,Platinum Debit,Global lounge access fee,Debit Cards; Per person,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,Signature (Regular) / World Debit,Global lounge access fee,Debit Cards; Per person,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,Signature Priority Debit,Global lounge access fee,Debit Cards; Per person,$ 36 / As per Note 41,,SOC-Cards_fees.pdf
